horizon,n_significant,median_|rho|,p95_|rho|
delta_test_loss_at_h0,675,0.08995601064116715,0.5348383517207882
delta_test_loss_at_h1,707,0.10660398047925401,0.6212897758812101
delta_test_loss_at_h2,711,0.10979980415776672,0.6192990201218004
delta_test_loss_at_h3,700,0.10996466833194563,0.5914889553844019
delta_test_loss_at_h4,692,0.11049442447025985,0.5554072647793505
delta_test_loss_at_h5,692,0.11104178929332881,0.5149491153205663
delta_test_loss_at_h6,688,0.11430505898349688,0.4727951030391341
delta_test_loss_at_h7,705,0.12053738836237751,0.43516426385407725
delta_test_loss_at_h8,704,0.1260390022203719,0.4085854184013323
delta_test_loss_at_h9,713,0.12528665681183887,0.3989289376908132
delta_test_loss_at_h10,715,0.12365771579239523,0.3957437777546489
delta_test_loss_at_h11,713,0.1182188211212878,0.39483814529558703
delta_test_loss_at_h12,714,0.11843365945045797,0.39284350888148767
delta_test_loss_at_h13,714,0.11659678482744554,0.3940447526366917
delta_test_loss_at_h14,714,0.11674885513357618,0.39388942721343334
delta_test_loss_at_h15,714,0.11702494665559293,0.39425545899250625
delta_test_loss_at_h16,713,0.11602991567622671,0.39464788023868996
delta_test_loss_at_h17,713,0.1152480243833497,0.39462203025256737
delta_test_loss_at_h18,713,0.11484410619636587,0.39435090723008603
delta_test_loss_at_h19,713,0.1146610477276798,0.3941009020260894
delta_test_loss_at_h20,713,0.1146353899504025,0.3939410768803775
delta_test_loss_at_h21,714,0.11452860841738254,0.39385002601998337
delta_test_loss_at_h22,714,0.11448856674977125,0.3937521093533167
delta_test_loss_at_h23,714,0.11441953289375432,0.39372966971967804
delta_test_loss_at_h24,714,0.11444079495325671,0.3941032438245906
delta_test_loss_at_h25,714,0.11435860757675936,0.39442864973633085
delta_test_loss_at_h26,714,0.11427297747559181,0.3944055179711352
delta_test_loss_at_h27,714,0.11425282647350735,0.3944833263946711
delta_test_loss_at_h28,714,0.11422620446424095,0.39453909068831533
delta_test_loss_at_h29,714,0.11421311815006865,0.39454325735498197
delta_test_loss_at_h30,714,0.11421062673299875,0.3945773886344712
delta_test_loss_at_h31,716,0.114189988386985,0.39469125902026087
delta_test_loss_at_h32,716,0.1141751970319895,0.39469886032472934
delta_test_loss_at_h33,716,0.11414850513712343,0.39465781119900084
delta_test_loss_at_h34,716,0.11410205610342122,0.39468670205384404
delta_test_loss_at_h35,716,0.11405764434148695,0.39470110324729396
delta_test_loss_at_h36,716,0.1140783280198686,0.39465818068276437
delta_test_loss_at_h37,716,0.11409701796543245,0.3946857601304468
delta_test_loss_at_h38,716,0.11412344419831846,0.3946517017069109
delta_test_loss_at_h39,716,0.11412979737646953,0.39459582292534
delta_test_loss_at_h40,716,0.1141483481363714,0.3945670135997779
delta_test_loss_at_h41,716,0.11414819702378069,0.3945428566472384
delta_test_loss_at_h42,715,0.11414165084952657,0.39454323306966416
delta_test_loss_at_h43,715,0.11414850716576966,0.39452923605328893
delta_test_loss_at_h44,716,0.11415289067915492,0.3945425183874549
delta_test_loss_at_h45,716,0.11415288574189907,0.3945500294893144
delta_test_loss_at_h46,715,0.11414841147218643,0.3945392849708576
delta_test_loss_at_h47,715,0.11414680589227238,0.394540096794338
delta_test_loss_at_h48,715,0.11414917795804908,0.3945362649181238
delta_test_loss_at_h49,715,0.11414539937098542,0.3945372831668055
