dataset,anti-greedy,baseline,greedy,random,random_imp_pct,greedy_imp_pct,anti-greedy_imp_pct
openml_1049,0.2604294611847019,0.2741627278121095,0.25510292959539854,0.2584447157165231,5.733095895645713,6.952001962051201,5.0091661755055705
openml_1050,0.3214741332398943,0.3149531137067289,0.3183245246910566,0.3209593073565104,-1.9070119927038456,-1.0704485326876336,-2.070473111511295
openml_1063,0.44699493050575256,0.4539939959843953,0.4462922314802806,0.4491908351580302,1.057978931186176,1.6964463345853311,1.5416647666158418
openml_1112,0.249992659831047,0.24872891662915544,0.24854344504674275,0.24943214438756303,-0.2827285897988576,0.07456776032568199,-0.5080805316157638
openml_12,0.09879450788100556,0.1423804512619972,0.10343170960744215,0.10317955662806823,27.532497815865604,27.35539978229502,30.61230877881419
openml_1236,0.0,0.0,0.0,0.0,,,
openml_1237,0.0,0.0,0.0,0.0,,,
openml_1241,0.09953866267356452,0.09901194007955903,0.09907391496744757,0.09899238849680997,0.019746691897314202,-0.06259334766971966,-0.5319788639453521
openml_14,0.5910617295900981,0.6004888439178467,0.5656061923503876,0.5953137107690175,0.8618200323363939,5.8090424028313,1.5699066557576888
openml_1467,0.32708147168159485,0.33860458930333454,0.34535929560661316,0.3608674804369609,-6.574893500242082,-1.9948655501616688,3.4031191501119467
openml_1479,0.6904893506865116,0.6902197034434199,0.6906172901351102,0.6920219394078143,-0.2611104776353541,-0.057602918274690086,-0.03906687127975578
openml_1485,1.2610927323500316,1.0979829296087606,1.2280948351591061,1.2708074936499962,-15.740186789863609,-11.850084554293359,-14.855404245618933
openml_1491,2.0600608030955,1.863913400967916,2.0541076342264812,2.0395378986994426,-9.422352864694583,-10.204027352332941,-10.523418203105688
openml_1493,2.134980646769206,1.8962579488754272,2.1020225365956624,2.115092515945435,-11.540337494684588,-10.851086364187086,-12.589146852903255
openml_1504,0.0268375556277559,0.056439668275320064,0.0259918183528825,0.022505970622293897,60.12384319392729,53.94760609489939,52.449125858006816
openml_151,0.4581829797443783,0.45615640718337386,0.4585507313191217,0.4573167821179291,-0.25438093519724747,-0.5248910457121667,-0.4442714229353774
openml_1515,0.4510607024033864,0.5796633958816528,0.44746925433476764,0.4552170932292938,21.468718490164356,22.805328486512654,22.18575373086394
openml_29,0.4387338339994495,0.4548142172288203,0.4562116141480524,0.4534443768038266,0.3011868083940176,-0.3072456546645362,3.5355937919769724
openml_3,0.09518309086561198,0.10991155356168743,0.09210066845019653,0.09205849220355346,16.243116196255027,16.204743299797514,13.400286156276694
openml_32,0.055412283640739406,0.08471718954781567,0.05871709164673037,0.06089825825888547,28.11581854410601,30.690463222237142,34.591451939675274
openml_37,0.5321633617083231,0.5289416224151463,0.5181090731125373,0.5229141654132249,1.1395316130351143,2.047966891534764,-0.6090916571220777
openml_40517,0.2119186827934195,0.2127515759217661,0.21192312739144045,0.21121416088208,0.7226339137677864,0.3893971298385561,0.3914862321174473
openml_40668,0.569611657399832,0.569170736245486,0.5721857857370085,0.5694334750606483,-0.046161687246170396,-0.529726723374993,-0.07746729166972625
openml_40691,1.0382655541102093,1.0507084409395855,1.0349745869636535,1.0325408856074014,1.7290767471076853,1.4974519441246827,1.1842378289308586
openml_40701,0.237260579029719,0.23688973768552138,0.2338702593247095,0.23302138805389397,1.6329747626141435,1.2746345157510899,-0.15654597274700396
openml_40923,0.4917301306517228,0.5064625130183456,0.4910341389110123,0.4909676246021104,3.059434413791228,3.046301297876002,2.9088791347700647
openml_40978,0.12057541807492571,0.09997680828702153,0.1219388462784813,0.11840039400792697,-18.427859457178826,-21.967132545789383,-20.603388066528407
openml_40981,0.37955691172304934,0.3870120981465215,0.37467365060451524,0.3702310531035713,4.336051798721017,3.1881296737485845,1.926344540435953
openml_40983,0.1148981642255113,0.1485905900659147,0.10903673055620226,0.1122145138003609,24.48074016626315,26.6193569136285,22.674669927252776
openml_40984,0.47955002017523474,0.4984886326315083,0.4595169529082283,0.45766374387094294,8.189733142970951,7.8179675868533876,3.7992064846688893
openml_40994,0.33895904819170636,0.36807921528816223,0.30835640430450434,0.3240656654040019,11.957629786214081,16.225532033071207,7.911385888404007
openml_4135,0.2135254648073487,0.2129737863146801,0.21302035946276576,0.21323517989244087,-0.12273509443764671,-0.021868019013774186,-0.2590358664391992
openml_458,0.04614720517067747,0.09759969593446398,0.04637484721236914,0.044251164513285535,54.6605508453641,52.48463966167598,52.7178801851347
openml_46,0.41873425014838644,0.4213829754599708,0.4092946936032864,0.407410031575768,3.3159725707832113,2.8687162416775647,0.6285790992607265
openml_554,0.1871283323523544,0.17100522905588147,0.18466952937415662,0.18874881083482786,-10.376046321453773,-7.990574553606134,-9.428427063598264
